#"+ESI Product Ion (rt: 1.575-2.096 min, 15 scans) Frag=150.0V CID@35.0 (369.1929[z=1] -> **) MSMS_4 OH nitazene_R3_07232024.d "
#Point,X(Thomsons),Y(Counts)
0,44.0505,14197.2939453125
1,72.0812,38155.57421875
2,86.0967,2937.69799804688
3,100.1121,168383.203125
4,101.1150,11035.669921875
5,107.0491,34383.19140625
6,108.0523,2239.568359375
7,250.1099,20539.734375
8,251.1126,3773.8046875
9,296.1023,1826.44702148438
